ingles,traducao_pt
"keep it between the white lines, they'll delete the lap and they'll delete the next one, too","Fica entre as linhas brancas, essa volta vai ser anulada, e a próxima também"
"track limits, they'll delete the next lap as well as this one","Limite de pista, essa e a próxima volta vão ser anuladas"
"come on, concentrate, keep it between the white lines, you've lost this lap and the next one","Pô, concentra! Fica dentro da pista, você perdeu essa volta e também a próxima"
"track limits, they'll delete this lap and the next one","Limite de pista, essa volta e a próxima tão fora"
"track limits, come on, they're gonna delete this lap and they'll delete the next one, too","Limite de pista, pô mano, essa volta vai ser anulada, e a próxima também"
"you've cut the track, they're gonna delete the lap and they'll delete the next one, too","Cê cortou a pista, essa volta já era, e a próxima também vai pro saco"
"you've gone out of track limits, they'll delete this lap and the one after it","Você passou do limite, essa volta e a seguinte vão ser anuladas"
"track limits, come on, concentrate, they're gonna delete the next lap, too","Limite de pista, pô, concentra aí, a próxima volta também vai ser anulada"
"watch those track limits, they'll delete this lap","Fica esperto com esses limites, essa volta já era"
"track limits, this lap will be deleted","Limite de pista, essa volta será anulada"
you've gone outside of track limits there,Você passou dos limites da pista ali
"come on, keep it between the lines, they'll delete this lap","Vamos lá, mantém dentro das linhas, essa volta vai ser anulada"
"this lap won't count, track limits","Essa volta não conta, limite de pista"
"this lap will be invalidated, watch the track limits","Essa volta foi invalidada, cuidado com os limites da pista"
"track limits, come on, keep it between the white lines","Limite de pista, foco, fica entre as linhas brancas"
"this lap won't count, you've cut the track","Essa volta não valeu, você cortou a pista"
watch those track limits,Atenção aos limites da pista
"track limits, the lap won't count","Limite de pista, essa volta não vale"
"come on, man, watch them track limits, this lap won't count","Pô mano, fica atento aos limites, essa volta não valeu"
"track limits, come on, this lap will be deleted","Limite de pista, se liga, essa volta vai ser anulada"
"this lap won't count, watch those track limits","Essa volta não conta, atenção aos limites da pista"
"this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites"
"the stewards have warned us for cutting the track, they'll delete this lap","Os comissários alertaram sobre corte de pista, essa volta vai ser anulada"
"they'll delete this lap, you've cut the track","Eles vão anular essa volta, você cortou a pista"
"come on, keep it between the white lines, this lap won't count","Concentra, mantém entre as linhas brancas, essa volta não vai contar"
"track limits, come on, this lap won't count","Limite de pista, foco, essa volta não valeu"
keep it between the white lines,Fica entre as linhas brancas
"come on, watch those track limits, this lap will be deleted","Se liga nos limites, essa volta vai ser anulada"
"track limits, they'll invalidate this lap","Limite de pista, essa volta foi invalidada"
be careful,Toma cuidado
take care please,"Toma cuidado, por favor"
be careful please,"Tenha cuidado, por favor"
"come on, wake up","Acorda aí, pô!"
"come on, be careful","Pô mano, cuidado aí"
"watch the track limits, we'll get a penalty if we don't","Fica atento aos limites da pista, senão vamos levar punição"
we've been warned about track limits,A gente já foi avisado sobre os limites da pista
the stewards have warned us about track limits,Os comissários já deram um alerta sobre os limites da pista
"the stewards have warned us for cutting the track, keep it between the white lines","Os comissários nos advertiram por cortar a pista, mantém entre as linhas brancas"
"you've gone outside track limits, come on, keep it between the lines","Você passou do limite da pista, pô, fica entre as linhas"
"come on, track limits","Pô, limite de pista aí"
"come on, track limits, keep it between the lines","Se liga, limite de pista, mantém dentro das linhas"
watch the track limits,Atenção aos limites da pista
"the stewards have warned us about track limits, keep it between the lines","Os comissários alertaram sobre os limites, fica entre as linhas"
"keep it between the lines, track limits",Mantém o carro nos limites da pista
keep it between the white lines or we'll get a penalty,"Mantém entre as linhas brancas, senão vem punição"
"watch those track limits, we don't want a penalty","Fica de olho nesses limites, a gente não quer penalidade"
we just had a warning for cutting the track,Recebemos um aviso por corte de pista
"track limits, come on","Limite de pista, pô!"
watch those track limits or we'll get a penalty,"Olho vivo nos limites, senão vamos levar punição"
keep it within the track limits,Mantém dentro dos limites da pista
"we'll need to pit for repairs, we've been called in by the stewards","Precisamos parar pra reparos, os comissários chamaram a gente pros boxes"
we've been called into the pits for repairs,Chamaram a gente pros boxes pra fazer reparos
"meatball flag, we'll need to come into the pits for repairs","Bandeira meatball, vamos ter que entrar pros boxes e consertar"
we've been called into the pits by the stewards for repairs,Os comissários pediram nossa entrada nos boxes pra reparos
the stewards have called us into the pits for repairs,"Fomos chamados pelos comissários pros boxes, é hora de reparar"
we've just had a drive-through penalty for speeding in the pit lane,Levamos uma penalidade de drive-through por excesso de velocidade no pit lane
we just had a drive-through for speeding in the pit lane,Acabamos de levar um drive-through por acelerar demais no pit lane
we've just been given a drive-through for speeding in the pit lane,Recebemos um drive-through por excesso de velocidade nos boxes
we've just had a drive-through for cutting the track,Drive-through aplicado por corte de pista
we've just had a drive-through penalty for cutting the track,Acabamos de levar uma penalidade de drive-through por corte de pista
we've had a drive-through penalty for track limits violations,Levamos uma penalidade de drive-through por violar os limites da pista
we've had a drive-through for track limits violations,Tomamos um drive-through por violar os limites da pista
we've had a drive-through penalty for cutting the track,Penalidade de drive-through por corte de pista
we've had a drive-through for cutting the track,Drive-through por cortar a pista
you don't have a penalty,Sem penalidade no momento
start respecting the track limits,Começa a respeitar os limites da pista
"track limits, for fuck's sake, come on, track limits","Limite de pista, pô mano, presta atenção nisso!"
pay some attention to the track limits,Dá atenção nesses limites aí
can you even see the track? stop cutting,Tá conseguindo ver a pista ou tá de zoeira? Para de cortar!
"shit, I'm sick of saying this, track limits","Cara, tô cansado de repetir, respeita o limite de pista"
"come on, track limits, they're there for a reason, stop taking the piss","Pô, limite de pista tá aí por um motivo, colabora!"
are you even trying to keep it on the track,Tá tentando manter na pista ou só tá passeando?
"track limits again, come on","De novo limite de pista, aí não dá!"
"that's another cut, come on, pay attention","Mais um corte, se liga, presta atenção"
track fucking limits,"Limite de pista de novo, pelo amor!"
we've just been disqualified for ignoring the drive-through,Fomos desclassificados por ignorar o drive-through
we've just been disqualified for ignoring a drive-through penalty,Desclassificação por não cumprir a penalidade de drive-through
