pasta,wav,ingles
voice/penalties/cut_track_in_prac_or_qual_next_invalid,8-a.wav,"keep it between the white lines, they'll delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,8-b.wav,"keep it between the white lines, they'll delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,8-c.wav,"keep it between the white lines, they'll delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,7-a.wav,"track limits, they'll delete the next lap as well as this one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,7-b.wav,"track limits, they'll delete the next lap as well as this one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,7-c.wav,"track limits, they'll delete the next lap as well as this one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,6-a.wav,"come on, concentrate, keep it between the white lines, you've lost this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,6-b.wav,"come on, concentrate, keep it between the white lines, you've lost this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,6-c.wav,"come on, concentrate, keep it between the white lines, you've lost this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,2-a.wav,"track limits, they'll delete this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,2-b.wav,"track limits, they'll delete this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,2-c.wav,"track limits, they'll delete this lap and the next one"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,5-a.wav,"track limits, come on, they're gonna delete this lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,5-b.wav,"track limits, come on, they're gonna delete this lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,5-c.wav,"track limits, come on, they're gonna delete this lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,3-a.wav,"you've cut the track, they're gonna delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,3-b.wav,"you've cut the track, they're gonna delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,3-c.wav,"you've cut the track, they're gonna delete the lap and they'll delete the next one, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,4_op_prefix_bad_luck-a.wav,"you've gone out of track limits, they'll delete this lap and the one after it"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,4_op_prefix_bad_luck-b.wav,"you've gone out of track limits, they'll delete this lap and the one after it"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,4_op_prefix_bad_luck-c.wav,"you've gone out of track limits, they'll delete this lap and the one after it"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,1_op__prefix_oh_dear-a.wav,"track limits, come on, concentrate, they're gonna delete the next lap, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,1_op__prefix_oh_dear-b.wav,"track limits, come on, concentrate, they're gonna delete the next lap, too"
voice/penalties/cut_track_in_prac_or_qual_next_invalid,1_op__prefix_oh_dear-c.wav,"track limits, come on, concentrate, they're gonna delete the next lap, too"
voice/penalties/cut_track_in_prac_or_qual,11-a.wav,"watch those track limits, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,11-b.wav,"watch those track limits, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,11-c.wav,"watch those track limits, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,10-a.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,10-b.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,10-c.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,3-a.wav,you've gone outside of track limits there
voice/penalties/cut_track_in_prac_or_qual,3-b.wav,you've gone outside of track limits there
voice/penalties/cut_track_in_prac_or_qual,3-c.wav,you've gone outside of track limits there
voice/penalties/cut_track_in_prac_or_qual,15_op_prefix_oh_dear-a.wav,"come on, keep it between the lines, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,15_op_prefix_oh_dear-b.wav,"come on, keep it between the lines, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,15_op_prefix_oh_dear-c.wav,"come on, keep it between the lines, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,8-a.wav,"this lap won't count, track limits"
voice/penalties/cut_track_in_prac_or_qual,8-b.wav,"this lap won't count, track limits"
voice/penalties/cut_track_in_prac_or_qual,8-c.wav,"this lap won't count, track limits"
voice/penalties/cut_track_in_prac_or_qual,24-a.wav,"this lap will be invalidated, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,24-b.wav,"this lap will be invalidated, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,24-c.wav,"this lap will be invalidated, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,5-a.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_prac_or_qual,5-b.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_prac_or_qual,5-c.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_prac_or_qual,12-a.wav,"this lap won't count, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,12-b.wav,"this lap won't count, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,12-c.wav,"this lap won't count, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,4-a.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,4-b.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,4-c.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,22-a.wav,"track limits, the lap won't count"
voice/penalties/cut_track_in_prac_or_qual,22-b.wav,"track limits, the lap won't count"
voice/penalties/cut_track_in_prac_or_qual,22-c.wav,"track limits, the lap won't count"
voice/penalties/cut_track_in_prac_or_qual,19_op_prefix_oh_dear-a.wav,"come on, man, watch them track limits, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,19_op_prefix_oh_dear-b.wav,"come on, man, watch them track limits, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,19_op_prefix_oh_dear-c.wav,"come on, man, watch them track limits, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,9_op_prefix_oh_dear-a.wav,"track limits, come on, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,9_op_prefix_oh_dear-b.wav,"track limits, come on, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,9_op_prefix_oh_dear-c.wav,"track limits, come on, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,17-a.wav,"this lap won't count, watch those track limits"
voice/penalties/cut_track_in_prac_or_qual,17-b.wav,"this lap won't count, watch those track limits"
voice/penalties/cut_track_in_prac_or_qual,17-c.wav,"this lap won't count, watch those track limits"
voice/penalties/cut_track_in_prac_or_qual,1-a.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,1-b.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,1-c.wav,watch those track limits
voice/penalties/cut_track_in_prac_or_qual,14-a.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,14-b.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,14-c.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,18-a.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,18-b.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,18-c.wav,"this lap will be deleted, watch the track limits"
voice/penalties/cut_track_in_prac_or_qual,13-a.wav,"the stewards have warned us for cutting the track, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,13-b.wav,"the stewards have warned us for cutting the track, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,13-c.wav,"the stewards have warned us for cutting the track, they'll delete this lap"
voice/penalties/cut_track_in_prac_or_qual,21-a.wav,"they'll delete this lap, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,21-b.wav,"they'll delete this lap, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,21-c.wav,"they'll delete this lap, you've cut the track"
voice/penalties/cut_track_in_prac_or_qual,16-a.wav,"come on, keep it between the white lines, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,16-b.wav,"come on, keep it between the white lines, this lap won't count"
